"id","taxon","rl_cat","lon","lat","northern_limit","poleward_shift","poleward"
"28af155a09484a5f7a3de164daf520bd","Helleborus niger","3",12.2090396,51.8480087,50.925,0.923008700000004,TRUE
"0e662727625875947837b3cfb44a6e65","Helleborus niger","3",13.6512969,52.4115187,50.925,1.4865187,TRUE
"313d42be44d1c9496cc99f3824db4049","Verbascum phoeniceum","2",10.2917631,53.9540239,53.225,0.729023900000001,TRUE
"3b13c36dcc2d4b2b9c45c48baac64aad","Saxifraga rosacea","3",10.1165315,53.8516793,51.875,1.9766793,TRUE
"03f756e8b6649d62ffa2fa95bcaf90d4","Melittis melissophyllum","3",10.021642819056,54.047118835202,51.2750000011255,2.7721188340765,TRUE
"0572c5674418c62ff49135210f43f3a6","Typha minima","0",6.0983834,50.7580153,48.375,2.3830153,TRUE
"6877d2a48a312ef6d75c91ec1ca9c9bf","Aurinia saxatilis","3",9.614507,53.7820049,53.675,0.1070049,TRUE
"48f6bccb30e5f1c7e854ed38ec038c1f","Aurinia saxatilis","3",9.6145979,53.7822047,53.675,0.107204700000004,TRUE
"7dc88039921325406761903b9cae0fde","Saponaria ocymoides","2",8.1956054651903,53.121550576289,51.925000001128,1.19655057516101,TRUE
"3cf8751b7a7447d460913c73ca5b4f10","Aethionema saxatile","1",12.445479028762,51.37198390442,48.025,3.34698390442,TRUE
"4523e6a82c5ca97e544d712a10762110","Typha minima","0",8.3795233,48.9514491,48.375,0.576449099999998,TRUE
"e8ab40a79c1818cfb99cea24c9eeb60d","Primula auricula","3",8.0353271,50.8896838,48.9750000011131,1.9146837988869,TRUE
"03fceb3025a6505fd8598b2ad4e59cea","Saxifraga rosacea","3",8.1207142,52.2981917,51.875,0.423191699999997,TRUE
"38005ccf51e4fb196eb20f539f9a3142","Helleborus niger","3",8.1205895,52.2984352,50.925,1.3734352,TRUE
"bf0e65f1c72226365daae3492baedbca","Typha minima","0",8.1208618,52.2983577,48.375,3.9233577,TRUE
"96832e4926f1258518589b95e7095a39","Helleborus niger","3",7.7163329,51.9108784,50.925,0.985878400000004,TRUE
"ab677477e3d6722ca4b3103300056701","Cyclamen purpurascens","3",9.4156704,49.2109089,49.175,0.0359089000000026,TRUE
"27e632245087b0d70f8b247151c30201","Primula auricula","3",8.0352387,50.8898257,48.9750000011131,1.9148256988869,TRUE
"b48bb716334e75b0efd7cbf5112fa915","Succisella inflexa","1",6.954006572312,51.576630355595,50.0250000011216,1.5516303544734,TRUE
"e12fa61a3742a80c9f0f25a742e860de","Saxifraga rosacea","3",13.336919559053,52.484367791508,51.875,0.609367791507999,TRUE
"34048a9bd927b61baadb49c8166b74a2","Helleborus niger","3",8.94771,53.0595797,50.925,2.1345797,TRUE
"3ad983075d352492b9a1ccb91022c28a","Saxifraga rosacea","3",9.2351667,53.7368427,51.875,1.8618427,TRUE
"1c9d75813b44ce5252aaa319023c3c1e","Dianthus gratianopolitanus","3",7.6448539,51.973299,51.875,0.0982989999999972,TRUE
"e59cca2a3b713386beec08340e200f21","Trifolium rubens","3",13.3113412,52.5944391,52.575,0.0194390999999996,TRUE
"276c7fab69161dd0b3f1847c8517ab66","Primula auricula","3",9.6223596297294,50.550406216691,48.9750000011131,1.5754062155779,TRUE
"ca42c3e5018d2e05c411976b40d33cb7","Helleborus niger","3",11.5306137,51.0262145,50.925,0.101214500000005,TRUE
"f49dc6701e76952265eb951e81306910","Dianthus gratianopolitanus","3",9.620533,52.2157806,51.875,0.340780600000002,TRUE
"fbc1b265eb9dd6afd98384e484689b35","Primula auricula","3",11.3251229,50.9576182,48.9750000011131,1.9826181988869,TRUE
"6fc239fe86f574139ea6d3f03848d9fd","Dianthus gratianopolitanus","3",13.1997241,52.5997326,51.875,0.724732600000003,TRUE
"9f0eb701a93f5897926c3202b955b0d3","Verbascum phoeniceum","2",9.97227,53.6042381,53.225,0.379238100000002,TRUE
"3dabe98017f3c5f04d27c6fd4d38bf6e","Stachys germanica","3",13.3112947,52.5943226,52.3250000011292,0.269322598870801,TRUE
"9e9e364b3bd5a7e8c7b18ebe115a58d5","Verbascum phoeniceum","2",10.0220258,53.6831781,53.225,0.458178099999998,TRUE
